,date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
0,2017-11-01,0,0,0,0,2017-11,0.0
1,2017-11-02,0,0,0,0,2017-11,0.0
2,2017-11-03,0,0,0,0,2017-11,0.0
3,2017-11-04,0,0,0,0,2017-11,0.0
4,2017-11-05,0,0,0,0,2017-11,0.0
5,2017-11-06,0,0,0,0,2017-11,0.0
6,2017-11-07,0,0,0,0,2017-11,0.0
7,2017-11-08,0,0,0,0,2017-11,0.0
8,2017-11-09,0,0,0,0,2017-11,0.0
9,2017-11-10,0,0,0,0,2017-11,0.0
10,2017-11-11,0,0,0,0,2017-11,0.0
11,2017-11-12,0,0,0,0,2017-11,0.0
12,2017-11-13,0,0,0,0,2017-11,0.0
13,2017-11-14,0,0,0,0,2017-11,0.0
14,2017-11-15,0,0,0,0,2017-11,0.0
15,2017-11-16,0,0,0,0,2017-11,0.0
16,2017-11-17,0,0,0,0,2017-11,0.0
17,2017-11-18,0,0,0,0,2017-11,0.0
18,2017-11-19,0,0,0,0,2017-11,0.0
19,2017-11-20,0,0,0,0,2017-11,0.0
20,2017-11-21,0,0,0,0,2017-11,0.0
21,2017-11-22,0,0,0,0,2017-11,0.0
22,2017-11-23,0,0,0,0,2017-11,0.0
23,2017-11-24,0,0,0,0,2017-11,0.0
24,2017-11-25,0,0,0,0,2017-11,0.0
25,2017-11-26,0,0,0,0,2017-11,0.0
26,2017-11-27,0,0,0,0,2017-11,0.0
27,2017-11-28,0,0,0,0,2017-11,0.0
28,2017-11-29,23,2,22,240,2017-11,49.33
29,2017-11-30,0,0,0,0,2017-11,0.0
30,2017-12-01,22,1,22,195,2017-12,77.52000000000001
31,2017-12-02,0,0,0,0,2017-12,0.0
32,2017-12-03,0,0,0,0,2017-12,0.0
33,2017-12-04,0,0,0,0,2017-12,0.0
34,2017-12-05,51,1,51,51,2017-12,104.14999999999999
35,2017-12-06,0,0,0,0,2017-12,0.0
36,2017-12-07,0,0,0,0,2017-12,0.0
37,2017-12-08,0,0,0,0,2017-12,0.0
38,2017-12-09,0,0,0,0,2017-12,0.0
39,2017-12-10,0,0,0,0,2017-12,0.0
40,2017-12-11,0,0,0,0,2017-12,0.0
41,2017-12-12,0,0,0,0,2017-12,0.0
42,2017-12-13,7,1,7,76,2017-12,37.25
43,2017-12-14,0,0,0,0,2017-12,0.0
44,2017-12-15,52,1,52,634,2017-12,116.01
45,2017-12-16,0,0,0,0,2017-12,0.0
46,2017-12-17,0,0,0,0,2017-12,0.0
47,2017-12-18,0,0,0,0,2017-12,0.0
48,2017-12-19,0,0,0,0,2017-12,0.0
49,2017-12-20,0,0,0,0,2017-12,0.0
50,2017-12-21,0,0,0,0,2017-12,0.0
51,2017-12-22,0,0,0,0,2017-12,0.0
52,2017-12-23,0,0,0,0,2017-12,0.0
53,2017-12-24,0,0,0,0,2017-12,0.0
54,2017-12-25,0,0,0,0,2017-12,0.0
55,2017-12-26,0,0,0,0,2017-12,0.0
56,2017-12-27,0,0,0,0,2017-12,0.0
57,2017-12-28,0,0,0,0,2017-12,0.0
58,2017-12-29,0,0,0,0,2017-12,0.0
59,2017-12-30,0,0,0,0,2017-12,0.0
60,2017-12-31,0,0,0,0,2017-12,0.0
61,2018-01-01,0,0,0,0,2018-01,0.0
62,2018-01-02,0,0,0,0,2018-01,0.0
63,2018-01-03,0,0,0,0,2018-01,0.0
64,2018-01-04,0,0,0,0,2018-01,0.0
65,2018-01-05,0,0,0,0,2018-01,0.0
66,2018-01-06,0,0,0,0,2018-01,0.0
67,2018-01-07,0,0,0,0,2018-01,0.0
68,2018-01-08,2,1,2,7,2018-01,15.64
69,2018-01-09,0,0,0,0,2018-01,0.0
70,2018-01-10,0,0,0,0,2018-01,0.0
